,Unnamed: 0,class,year,month,day,hour,minute,second,length,f0,f1,path
0,0,VTB,2021,1,1,0,2,6.0,16.32,,,
1,1,GASBURST,2021,1,1,0,4,18.96,15.84,,,
2,2,VTB,2021,1,1,0,4,38.96,12.44,,,
3,3,MP,2021,1,1,0,6,2.92,7.32,,,
4,4,VTB,2021,1,1,0,6,31.76,42.24,,,
5,5,MP,2021,1,1,0,7,26.64,11.12,,,
6,6,VTB,2021,1,1,0,8,4.32,21.64,,,
7,7,VTB,2021,1,1,0,9,45.8,15.2,,,
8,8,MP,2021,1,1,0,12,14.6,7.32,,,
9,9,MP,2021,1,1,0,12,53.92,7.88,,,
10,10,VTB,2021,1,1,0,16,23.12,23.12,,,
12,12,MP,2021,1,1,0,20,37.0,7.4,,,
13,13,GASBURST,2021,1,1,0,22,8.8,12.96,,,
14,14,MP,2021,1,1,0,22,23.04,6.96,,,
15,15,MP,2021,1,1,0,25,1.48,5.8,,,
16,16,MP,2021,1,1,0,26,7.6,5.6,,,
17,17,GASBURST,2021,1,1,0,26,20.2,20.0,,,
18,18,MP,2021,1,1,0,28,18.48,5.84,,,
19,19,GASBURST,2021,1,1,0,29,56.04,12.6,,,
20,20,MP,2021,1,1,0,31,43.84,5.92,,,
21,21,GASBURST,2021,1,1,0,37,27.16,14.36,,,
22,22,MP,2021,1,1,0,37,47.92,14.88,,,
23,23,MP,2021,1,1,0,37,47.92,14.88,,,
24,24,VTB,2021,1,1,0,38,38.96,30.08,,,
25,25,GASBURST,2021,1,1,0,39,36.88,15.84,,,
26,26,MP,2021,1,1,0,41,12.08,5.72,,,
27,27,MP,2021,1,1,0,41,12.08,5.72,,,
28,28,ROCKFALL,2021,1,1,0,41,33.28,12.2,,,
29,29,MP,2021,1,1,0,47,0.96,6.72,,,
31,31,ROCKFALL,2021,1,1,0,48,1.84,28.48,,,
32,32,MP,2021,1,1,0,54,52.72,6.08,,,
33,33,MP,2021,1,1,0,57,29.32,7.24,,,
34,34,GASBURST,2021,1,1,1,0,5.0,11.52,,,
35,35,GASBURST,2021,1,1,1,2,24.52,22.92,,,
36,36,MP,2021,1,1,1,5,10.6,6.24,,,
37,37,MP,2021,1,1,1,9,29.48,6.68,,,
38,38,MP,2021,1,1,1,15,49.52,5.6,,,
39,39,MP,2021,1,1,1,18,21.28,6.16,,,
40,40,GASBURST,2021,1,1,1,19,23.24,15.16,,,
41,41,MP,2021,1,1,1,24,51.24,8.12,,,
42,42,MP,2021,1,1,1,26,4.32,6.16,,,
43,43,MP,2021,1,1,1,31,48.12,6.48,,,
44,44,ROCKFALL,2021,1,1,1,36,24.24,36.6,,,
45,45,MP,2021,1,1,1,37,47.72,5.48,,,
46,46,MP,2021,1,1,1,38,20.32,9.48,,,
47,47,VTB,2021,1,1,1,39,1.32,16.68,,,
48,48,VTB,2021,1,1,1,39,38.4,14.12,,,
49,49,MP,2021,1,1,1,41,10.76,6.28,,,
50,50,ROCKFALL,2021,1,1,1,42,34.16,17.4,,,
51,51,MP,2021,1,1,1,43,44.08,6.04,,,
52,52,ROCKFALL,2021,1,1,1,46,4.96,12.04,,,
53,53,MP,2021,1,1,1,52,31.12,7.0,,,
54,54,MP,2021,1,1,1,55,55.92,4.76,,,
55,55,MP,2021,1,1,1,57,34.28,7.16,,,
56,56,VTB,2021,1,1,2,4,19.88,29.56,,,
57,57,MP,2021,1,1,2,5,52.0,7.56,,,
58,58,MP,2021,1,1,2,6,7.72,10.4,,,
59,59,VTB,2021,1,1,2,6,45.6,50.28,,,
60,60,GASBURST,2021,1,1,2,8,4.08,23.16,,,
61,61,MP,2021,1,1,2,11,6.12,9.6,,,
62,62,MP,2021,1,1,2,11,45.0,9.72,,,
63,63,MP,2021,1,1,2,12,50.6,6.04,,,
64,64,MP,2021,1,1,2,13,36.36,6.92,,,
65,65,MP,2021,1,1,2,14,32.96,9.84,,,
66,66,GASBURST,2021,1,1,2,17,52.28,12.96,,,
67,67,MP,2021,1,1,2,18,31.28,11.12,,,
68,68,VTB,2021,1,1,2,24,22.0,12.64,,,
69,69,MP,2021,1,1,2,26,44.2,7.16,,,
70,70,MP,2021,1,1,2,28,37.04,6.56,,,
71,71,VTB,2021,1,1,2,32,46.88,30.32,,,
72,72,GASBURST,2021,1,1,2,34,7.04,12.84,,,
73,73,VTB,2021,1,1,2,35,17.0,23.24,,,
74,74,MP,2021,1,1,2,35,36.36,7.68,,,
75,75,MP,2021,1,1,2,40,1.0,5.4,,,
76,76,GASBURST,2021,1,1,2,42,45.36,17.88,,,
77,77,MP,2021,1,1,2,43,12.64,7.6,,,
78,78,ROCKFALL,2021,1,1,2,47,36.0,29.84,,,
79,79,MP,2021,1,1,2,49,8.4,7.96,,,
80,80,ROCKFALL,2021,1,1,2,54,2.64,72.56,,,
81,81,MP,2021,1,1,2,55,18.44,9.0,,,
82,82,MP,2021,1,1,2,57,6.88,5.84,,,
83,83,VTB,2021,1,1,2,57,14.6,13.44,,,
84,84,VTB,2021,1,1,2,58,0.08,12.56,,,
85,85,MP,2021,1,1,2,58,46.44,6.88,,,
86,86,MP,2021,1,1,3,1,32.56,8.28,,,
87,87,ROCKFALL,2021,1,1,3,3,5.04,12.92,,,
88,88,MP,2021,1,1,3,4,15.12,8.44,,,
89,89,VTB,2021,1,1,3,5,24.72,16.4,,,
90,90,MP,2021,1,1,3,6,27.0,7.96,,,
91,91,GASBURST,2021,1,1,3,8,28.16,9.76,,,
92,92,MP,2021,1,1,3,8,38.88,8.68,,,
93,93,MP,2021,1,1,3,9,12.72,6.04,,,
94,94,MP,2021,1,1,3,9,30.96,8.16,,,
95,95,MP,2021,1,1,3,11,22.08,7.92,,,
96,96,MP,2021,1,1,3,17,24.24,6.72,,,
97,97,ROCKFALL,2021,1,1,3,18,18.0,11.48,,,
98,98,VTB,2021,1,1,3,25,0.72,12.28,,,
99,99,MP,2021,1,1,3,25,18.4,7.2,,,
100,100,MP,2021,1,1,3,26,15.4,7.08,,,
101,101,MP,2021,1,1,3,26,35.4,6.36,,,
102,102,MP,2021,1,1,3,26,52.52,5.16,,,
103,103,MP,2021,1,1,3,27,7.36,8.16,,,
104,104,MP,2021,1,1,3,27,48.2,8.0,,,
105,105,MP,2021,1,1,3,30,0.52,5.16,,,
106,106,GASBURST,2021,1,1,3,34,50.16,10.68,,,
107,107,ROCKFALL,2021,1,1,3,36,12.16,12.8,,,
108,108,MP,2021,1,1,3,37,24.8,6.44,,,
109,109,MP,2021,1,1,3,37,42.96,7.52,,,
110,110,MP,2021,1,1,3,39,44.0,7.44,,,
111,111,MP,2021,1,1,3,40,45.04,7.0,,,
112,112,MP,2021,1,1,3,42,6.24,6.8,,,
113,113,ROCKFALL,2021,1,1,3,43,6.0,12.24,,,
114,114,MP,2021,1,1,3,46,53.68,6.08,,,
115,115,MP,2021,1,1,3,47,57.04,7.0,,,
116,116,MP,2021,1,1,3,51,55.4,10.12,,,
117,117,ROCKFALL,2021,1,1,3,54,3.12,13.88,,,
118,118,MP,2021,1,1,4,1,52.36,7.16,,,
119,119,ROCKFALL,2021,1,1,4,2,0.8,59.72,,,
120,120,MP,2021,1,1,4,5,26.12,5.44,,,
121,121,MP,2021,1,1,4,16,3.68,5.0,,,
122,122,MP,2021,1,1,4,16,47.12,8.4,,,
123,123,GASBURST,2021,1,1,4,18,20.84,18.28,,,
124,124,VTB,2021,1,1,4,21,14.88,12.4,,,
125,125,ROCKFALL,2021,1,1,4,22,15.16,12.36,,,
126,126,VTB,2021,1,1,4,22,58.4,20.68,,,
127,127,MP,2021,1,1,4,24,8.16,7.68,,,
128,128,MP,2021,1,1,4,24,54.96,9.76,,,
129,129,MP,2021,1,1,4,25,34.32,5.88,,,
130,130,MP,2021,1,1,4,26,9.52,6.08,,,
131,131,MP,2021,1,1,4,27,46.92,9.76,,,
132,132,MP,2021,1,1,4,28,35.52,10.44,,,
133,133,MP,2021,1,1,4,30,29.52,9.72,,,
134,134,ROCKFALL,2021,1,1,4,32,22.12,13.32,,,
135,135,MP,2021,1,1,4,32,58.8,7.44,,,
136,136,GASBURST,2021,1,1,4,33,47.4,17.88,,,
137,137,MP,2021,1,1,4,34,42.56,10.08,,,
138,138,VTB,2021,1,1,4,36,29.92,24.72,,,
139,139,MP,2021,1,1,4,37,24.48,8.32,,,
140,140,VTB,2021,1,1,4,38,32.2,18.6,,,
141,141,VTB,2021,1,1,4,38,42.96,30.72,,,
